,x
1,7.24399898440574
2,7.25970380135681
3,6.32048794810049
4,4.64134643208272
5,34.5974183431929
6,7.12432755765903
7,6.63837218256315
8,8.41715540486491
9,4.54348639144324
10,5.42775049198421
11,4.66403298804646
12,6.21754339945715
13,6.61864949548858
14,7.83069903103417
15,10.4380436417173
16,5.5342057419226
17,7.74949240221197
18,4.45494089138034
19,6.95594869691263
20,11.3125055687249
21,7.13250244760209
22,5.71032131952685
23,4.11854976171391
24,7.26159537473557
25,4.175503213482
26,12.9721683277969
27,6.78690449324979
28,4.60397454326718
29,4.94591825695587
30,5.73990059948268
31,5.14207296416131
32,11.9480759312191
33,6.61861590391257
34,9.4688317399847
35,6.29009392127658
36,3.86105675978894
37,4.61823601370533
38,9.35598910673091
39,5.39496636252178
40,12.1810756395864
41,12.0438568774266
42,5.56205007822155
43,15.1862768619129
44,6.89379169937682
45,4.78964871561063
46,33.9865397057067
47,4.21112470549464
48,5.02459913682715
49,4.78107158745463
50,4.58664742822084
51,8.16836589334454
52,4.41162367215905
53,4.63567029834931
54,4.47535463048182
55,6.41039000988125
56,5.95737070788191
57,4.48595956549766
58,8.00736456539551
59,6.13717390164802
60,6.38155078073957
61,15.8524448202369
62,4.51628839841115
63,8.0506908485838
64,8.00678716070506
65,6.44379997686048
66,4.48508449713649
67,5.69876998239739
68,8.54724279564075
69,5.71998883836908
70,5.58178181818453
71,5.94741177605329
72,6.80015906850336
73,4.67203036510507
74,7.90124775788443
75,14.4804936214097
76,8.35965579905999
77,5.63590158557442
78,18.4164849964477
79,4.33152771254704
80,6.12842143491175
81,9.194540701257
82,4.31364588188433
83,6.20379263235704
84,9.08042945490874
85,5.86396878925328
86,5.822123745547
87,9.59268148057031
88,7.06486056317188
89,9.09241897190188
90,4.70258021313935
91,12.3895491740648
92,12.1544116304738
93,11.7465092845105
94,7.13298317038326
95,7.67635869829444
96,18.0193986527798
97,10.4965059513098
98,8.25167758211567
99,6.929370671462
100,6.07379818555379
101,4.32689732752142
102,8.81111398031432
103,4.47187101627127
104,5.34397022566719
105,7.51840369551996
106,4.31934541258911
107,6.97499329354396
108,5.25317144355356
109,7.30517561125324
110,9.16804658237807
111,4.29426420258021
112,5.22515454978161
113,10.5379819547421
114,7.12997389255556
115,4.8217033392667
116,4.41550640688824
117,10.7158547132342
118,66.8064633827685
119,6.59789689947764
120,5.26640335184268
121,6.94821676561816
122,7.67472513726247
123,4.44952705061958
124,5.21799458764703
125,4.2133844828916
126,6.08072693484264
127,5.98671446629256
128,9.5217856202185
129,4.23854966264555
130,19.6762453173795
131,11.4984740068117
132,4.28803469994295
133,5.40928911641651
134,4.15860809045722
135,6.80402429128281
136,4.50439755364197
137,16.5905127371082
138,9.05495619558095
139,6.5150020124977
140,10.0722863419328
141,5.0066389478045
142,5.54277430846016
143,5.8272123934452
144,5.54393679749496
145,5.58580609257987
146,5.18514523768379
147,7.06117580437403
148,7.18432451117373
149,16.0575403713283
150,8.97063066886308
151,6.58345608401956
152,5.65309351769502
153,6.0215466522482
154,5.32937658097113
155,7.3048861651297
156,4.30283506702709
157,6.05239310553637
158,9.91154329771102
159,12.3068934960415
160,7.60375170735324
161,4.85061210961748
162,5.4720368628773
163,5.24376872677993
164,5.63685565889738
