geneID,Hb,logGEMean
GRMZM5G807592,0.213518437156684,1.05643338308135
GRMZM5G862955,0.40510711592019,1.50017743976629
GRMZM5G876913,0.677784633949679,1.52724697779706
GRMZM5G881135,0.728286672628,1.81377820775006
GRMZM5G892769,0.427306700072498,0.774219901215949
Zm00001d000482,0.400691977317498,1.27075719974478
Zm00001d000501,0.501390447686414,1.62606617657917
Zm00001d000502,0.496448281987134,2.3593787778803
Zm00001d000508,0.298114319402306,3.88009518828989
Zm00001d000524,0.197857456388869,4.16794382126791
Zm00001d000526,0.099003749055073,3.37325646788942
Zm00001d000545,0.314756365356821,1.53452717601587
Zm00001d000551,0.323292587275113,2.03162036475859
Zm00001d000640,0.320946993549423,1.72093453307502
Zm00001d000800,0.291401272283335,0.687568303306884
Zm00001d000824,0.421325536388438,2.30839049536927
Zm00001d000825,0.500170163340653,1.2541904571442
Zm00001d000849,0.168872100863882,1.12614485397287
Zm00001d000874,0.494347777160552,2.93211971064942
Zm00001d000967,0.503648135345169,1.12742066933749
Zm00001d000970,7.02891195600599E-07,0.719497455599853
Zm00001d000986,0.28251044520948,2.99840201938886
Zm00001d001005,0.109863746260731,2.8886420361105
Zm00001d001006,0.09710056992729,2.45582975392802
Zm00001d001076,0.812889683013242,5.17949710991531
Zm00001d001080,0.051315662771195,3.97380040685835
Zm00001d001082,0.335109173713728,2.25213131512408
Zm00001d001083,0.134896348163773,2.03972378121303
Zm00001d001087,0.106298610199533,0.843085178594819
Zm00001d001172,0.410070043054675,2.12108980407511
Zm00001d001230,0.507981631505475,1.19939521271145
Zm00001d001250,0.686367419053426,0.739536210937539
Zm00001d001276,0.347996797189183,3.47104063777141
Zm00001d001300,0.437386139337303,2.92622595461047
Zm00001d001301,0.366095305738303,3.74892153688446
Zm00001d001307,0.175133103265691,1.39217048030995
Zm00001d001321,0.43730172565236,1.69036316556702
Zm00001d001399,0.889510374979078,2.3604747698272
Zm00001d001432,0.411615385908675,3.08537765344025
Zm00001d001471,0.08291022087141,1.75577701072177
Zm00001d001472,0.637948607817628,2.38149080798062
Zm00001d001476,0.431854846101765,0.766902176578972
Zm00001d001490,0.532096071508275,2.11506537916116
Zm00001d001513,0.671671707295497,2.19934596159539
Zm00001d001527,0.532879782314662,0.892611167152844
